"id"	"cond"	"match"	"fMRI"	"a1"	"a2"	"a3"	"a4"	"a5"	"a6"	"a7"	"a8"	"a9"	"a10"	"b1"	"b2"	"b3"	"b4"	"b5"	"b6"	"b7"	"b8"	"b9"	"b10"	"scan"	"pre1"	"pre2"	"pre3"	"pre4"	"pre5"	"pre6"	"pre7"	"pre8"	"pre9"	"pre10"	"pre11"	"pre12"	"pre13"	"pre14"	"pre15"	"exp"	"post1"	"post2"	"post3"	"post4"	"post5"	"post6"	"post7"	"post8"	"post9"	"post10"	"post11"	"post12"	"post13"	"post14"	"post15"	"post16"	"post17"	"post18"	"post19"	"post20"	"post21"	"post22"	"post23"	"post24"	"post25"	"post26"	"post27"	"post28"	"post29"	"postc1"	"postc2"	"postc3"	"postc4"	"postc5"	"postc6"	"postc7"	"postc8"	"postc9"	"postc10"	"postc11"	"postc12"	"age"	"sex"	"sleepr"	"sleepd"	"Easy"	"Mid"	"Dif"	"IAT"	"score"	"orderedcond"	"c1"	"c2"	"c3"	"c4"	"c5"	"c6"	"c7"	"c8"	"c9"	"c10"	"c2r"	"c4r"	"c6r"	"c8r"	"c12r"	"c34r"	"c56r"	"c78r"	"pos_im_e"	"pos_im_m"	"pos_im_h"	"pos_im_ws"	"pos_emo_e"	"pos_emo_m"	"pos_emo_h"	"pos_emo_ws"	"postc_e"	"postc_m"	"postc_h"	"postc_ws"	"postm_e"	"postm_m"	"postm_h"	"postm_ws"	"leftBeta_D"	"leftBeta_M"	"leftBeta_E"	"rightBeta_D"	"rightBeta_M"	"rightBeta_E"	"leftContrastEstimate_D"	"leftContrastEstimate_M"	"leftContrastEstimate_E"	"rightContrastEstimate_D"	"rightContrastEstimate_M"	"rightContrastEstimate_E"
"7"	"C24"	"C"	13	1	2	4	4	2	5	1	2	4	5	1	2	4	3	3	5	1	2	4	5	1	"KM14051304"	1	5	1	5	4	3	3	2	5	1	5	2	1	5	1	"No"	1	6	2	5	3	5	7	1	7	1	6	1	1	4	7	5	6	3	2	2	2	5	4	4	7	1	2	5	1	2	-2	0	2	2	-2	2	-2	0	2	2	-2	22	"M"	6	8	"O"	"G"	"B"	"r"	31	"Control"	2	4	3.5	2.5	5	1	2	4	5	1	2	2.5	5	2	2	3	5	2	1.66666666666667	5	7	1.33333333333333	2.5	4	7	2.5	-4	2	6	-4	-4	2	6	-4	1.8871	-6.2339	-5.7424	2.9469	-6.8209	-0.76661	-0.68758	-6.9149	-4.8311	0.75025	-6.1389	-1.5948
"8"	"C25"	"C"	14	1	2	3	4	2	4	2	3	3	5	2	3	3	3	2	4	2	2	3	5	2	"KM14051403"	2	4	2	5	4	3	4	4	5	1	4	2	2	4	2	"No"	2	5	3	6	2	6	6	2	6	2	4	3	1	5	7	6	5	4	2	2	2	2	2	2	5	2	2	2	1	1	-2	0	1	1	-2	2	-2	0	2	2	-2	19	"M"	8	4	"B"	"O"	"G"	"r"	32	"Control"	2.5	3	3.5	2	4	2	2.5	3	5	2	3	4	4	3	2.75	3.75	4	2.75	2.66666666666667	6	6	3	4	4	5.5	4	-3	1	5	-3	-4	2	6	-4	5.8516	8.3182	-2.9366	8.8666	11.368	2.5438	7.5303	9.3448	0.57663	11.908	14.416	5.1538
"9"	"C26"	"C"	15	1	5	1	2	4	3	2	4	2	5	2	5	1	2	4	3	3	4	2	5	2	"KM14051404"	4	3	4	5	3	2	4	2	3	1	3	1	4	3	4	"No"	6	3	4	3	3	5	5	2	5	5	2	5	1	6	7	2	7	1	1	2	7	1	2	5	5	4	5	3	1	-2	1	0	2	-1	-1	-1	-2	-2	0	0	-1	18	"F"	5	6	"B"	"O"	"G"	""	32	"Control"	5	1	2	4	3	2.5	4	2	5	2	5	2	2.5	4	5	2	2.75	4	5	4.33333333333333	5.33333333333333	5.33333333333333	7	2.5	4.5	5	3	-5	2	0	1	-1	3	-3	2.6045	-3.3652	-0.5103	2.7587	-3.8189	-0.62673	1.4402	-2.7299	-0.73288	1.4427	-3.1641	-0.88655
"10"	"C27"	"C"	16	1	4	2	3	1	5	2	4	2	5	2	3	1	3	1	5	1	3	1	5	2	"KM14051503"	4	2	4	5	4	2	4	4	5	1	5	3	4	2	4	"No"	5	1	5	6	1	6	7	1	7	6	1	6	1	5	7	1	7	1	1	1	5	1	5	1	7	1	5	1	1	-2	-1	-2	2	-1	-1	2	-2	0	2	2	-2	21	"M"	6	8	"G"	"B"	"O"	""	34	"Control"	3.5	1.5	3	1	5	1.5	3.5	1.5	5	2	1.5	5	1.5	1.5	2.5	4	3.25	2.5	5.66666666666667	6.33333333333333	7	6.33333333333333	6	6	7	6	3	-5	4	-2	-4	2	6	-4	7.4193	3.654	2.7951	4.848	4.3867	3.6341	8.3808	6.354	3.4963	6.2639	6.5341	3.8853
"11"	"C28"	"C"	17	1	2	4	4	2	4	2	2	4	5	2	1	5	5	1	4	2	1	5	5	2	"KM14051504"	4	4	2	5	5	2	5	4	5	1	5	2	4	4	4	"No"	3	6	2	7	2	7	7	2	7	3	6	3	1	5	6	2	6	2	3	2	1	6	6	2	6	2	2	6	1	2	-2	0	-1	2	-2	2	-2	1	-1	2	-2	21	"F"	7	9	"G"	"B"	"O"	"r"	27	"Control"	1.5	4.5	4.5	1.5	4	2	1.5	4.5	5	2	4.5	1.5	4	4.5	3	3	4	3	2.33333333333333	6.66666666666667	6.66666666666667	2.66666666666667	1.5	6	6	2	-4	5	3	-4	-5	5	3	-3	1.6449	7.1534	-5.6658	2.9385	8.1446	-4.4118	2.8972	6.404	-1.9558	4.5522	8.029	-0.77265
"6"	"C230"	"C"	12	1	2	4	3	2	5	1	1	5	5	2	2	4	3	2	5	1	1	5	5	2	"KM14051601"	2	5	2	5	4	2	3	3	5	1	5	3	2	5	2	"No"	4	6	3	4	4	4	6	2	6	4	4	4	1	4	7	7	6	2	2	5	3	5	6	2	6	2	4	4	5	1	-1	-1	1	-1	-1	2	-2	-1	2	1	-2	21	"M"	5	6	"O"	"G"	"B"	""	29	"Control"	2	4	3	2	5	1	1	5	5	2	2	4	5	1	2	3.5	5	1	3	4	6	4	3	6	6	4	-1	-1	3	-1	-3	1	6	-4	3.5902	-2.6024	4.2578	2.9053	-1.9972	2.5357	3.1663	-0.67118	2.6473	2.4827	-0.62856	1.5744
"37"	"R1"	"R"	1	1	4	2	4	1	2	3	2	4	5	2	4	1	4	1	2	2	2	4	5	2	"KM13121602"	2	3	3	4	4	2	4	2	4	2	4	2	3	3	3	"No"	5	3	5	6	2	6	6	2	6	3	5	3	2	6	7	4	6	2	2	2	6	2	6	2	3	4	3	5	2	1	1	-2	-2	2	-1	2	-2	-2	-2	2	-2	18	"F"	6	7	"O"	"G"	"B"	"noIAT"	27	"Reward"	4	1.5	4	1	2	2.5	2	4	5	2	1.5	5	2.5	2	2.75	4.5	2.25	2	5	6	6	3	6	6	3.5	3	2	5	-2	-5	-2	6	2	-6	1.7056	3.3062	8.7208	1.7685	2.7869	4.9895	6.6298	7.5177	9.5021	4.9587	5.6931	6.0553
"39"	"R3"	"R"	2	1	5	1	5	2	3	3	3	2	4	3	4	1	5	1	4	2	2	4	5	3	"KM13121604"	3	3	3	5	4	2	4	2	3	3	3	2	4	2	4	"No"	5	2	5	5	2	5	5	2	5	2	2	2	1	5	6	1	6	1	1	1	6	1	6	1	4	2	3	5	1	1	2	-2	-2	2	-2	2	-1	-2	-2	2	-2	20	"F"	6	9	"O"	"G"	"B"	""	27	"Reward"	4.5	1	5	1.5	3.5	2.5	2.5	3	4.5	3	5	1.5	2.5	3	4.75	3.25	3	2.75	5.33333333333333	5.33333333333333	5.33333333333333	3.33333333333333	6.5	6.5	5	3	3	5	-2	-6	-1	6	1	-6	-4.9516	5.5988	1.8623	-2.6493	4.876	0.28339	-1.8667	5.1983	1.4855	-0.50648	4.7762	0.78636
"48"	"R4"	"R"	3	1	4	1	4	2	4	2	3	3	5	2	5	1	4	1	1	2	3	3	5	3	"KM13121702"	4	2	4	4	3	3	3	2	2	3	3	1	4	2	4	"No"	7	1	6	6	1	6	2	4	3	5	2	5	1	2	6	4	6	2	2	2	7	1	6	1	2	6	2	2	2	-2	2	-2	-2	2	2	-2	2	-2	-2	2	2	18	"F"	5.6	6	"B"	"O"	"G"	""	28	"Reward"	4.5	1	4	1.5	2.5	2	3	3	5	2.5	5	1.5	4	3	4.75	2.75	3.25	3	6.66666666666667	6.33333333333333	3	5.33333333333333	7	6.5	2	4	6	2	-6	-2	6	2	-6	-2	1.0846	-2.5508	4.175	1.427	-2.5233	2.4079	1.7224	-1.1933	3.2903	1.3574	-1.6031	1.8755
"49"	"R5"	"R"	4	1	4	2	4	1	3	4	1	1	5	3	5	1	4	1	3	4	1	5	5	4	"KM13121703"	2	3	2	5	4	2	4	2	3	2	3	1	3	2	3	"No"	6	2	5	6	2	6	5	1	5	2	2	2	1	5	7	7	4	5	2	3	6	2	5	3	5	3	3	5	1	-2	2	-2	-1	2	-1	2	-2	0	-1	2	-1	19	"M"	7	6	"B"	"O"	"G"	""	30	"Reward"	4.5	1.5	4	1	3	4	1	3	5	3.5	1.5	5	2	3	3	4.5	2.5	2	5.66666666666667	6	5.66666666666667	3.33333333333333	6	5	5	3	6	1	-2	-5	-4	5	2	-3	0.82086	3.4681	3.7363	3.9506	6.1603	0.23761	3.7842	5.6923	4.7866	6.612	9.0306	3.8559
